Feature1,Feature2,Feature3,Feature4,Target
67.63,19.24,169.42,6.03,51.43
98.78,2.73,132.25,2.41,38.47
86.94,3.74,103.41,3.17,31.76
97.01,2.52,52.31,6.79,43.60
45.91,40.06,95.14,8.71,74.61
44.71,5.94,104.50,6.88,32.55
55.71,0.01,27.27,6.44,31.37
61.91,15.23,106.58,2.86,35.04
36.33,2.71,52.35,5.09,18.86
56.02,30.99,99.90,6.91,60.80
75.93,11.09,74.86,8.47,47.29
96.44,14.60,109.18,7.32,57.71
14.04,35.84,147.10,1.96,45.25
61.09,9.38,186.74,4.54,30.93
71.68,5.39,88.75,9.34,45.55
83.75,29.44,156.71,5.05,61.28
13.46,24.94,110.77,1.44,26.34
93.53,41.94,101.76,5.57,85.11
57.86,36.52,34.39,4.49,63.31
60.05,44.13,105.78,4.46,78.04
76.24,13.68,193.08,9.73,52.34
45.28,6.67,88.42,7.30,33.36
70.15,43.04,145.26,9.42,84.50
63.26,10.04,128.59,3.62,32.57
98.13,32.50,192.08,5.54,75.35
69.43,16.12,31.93,4.17,40.85
66.72,20.87,152.10,8.57,57.47
28.59,42.37,163.58,5.70,66.03
67.03,10.00,152.54,2.45,33.34
28.66,12.53,169.48,7.22,32.36
3.23,40.70,29.47,8.81,63.69
73.95,43.24,151.06,6.05,80.64
79.88,14.38,136.25,9.34,57.53
38.76,47.84,195.41,3.81,71.01
25.13,31.03,158.38,8.83,56.79
83.00,45.57,143.88,6.83,87.15
60.34,38.81,193.22,3.65,62.85
17.74,34.13,45.53,2.56,43.34
42.85,27.83,34.71,6.26,52.16
25.50,16.53,144.84,2.39,28.00
5.09,46.62,126.97,6.96,67.83
49.06,28.63,78.04,8.06,58.64
18.39,3.41,105.98,4.74,18.11
53.70,4.60,52.03,2.92,24.43
21.84,37.63,110.79,9.97,66.27
82.37,49.06,11.67,7.02,87.55
61.37,31.06,192.19,7.14,64.64
32.09,45.80,189.55,4.47,66.58
91.13,41.11,81.24,8.23,86.25
44.56,2.19,180.67,2.73,14.99
16.74,47.81,112.22,1.07,58.46
6.55,33.52,156.98,8.78,52.44
53.78,35.14,195.48,7.98,68.83
64.66,46.99,151.91,2.38,73.38
8.75,2.71,160.90,6.02,16.40
57.50,11.38,59.14,4.49,34.27
1.69,33.66,111.62,6.77,45.83
61.83,37.80,121.27,7.31,77.06
10.61,39.34,67.26,1.78,49.60
76.53,21.88,85.07,6.95,54.53
13.64,19.55,161.52,5.91,33.46
96.01,7.20,138.68,9.23,53.91
37.31,47.47,115.17,6.00,71.98
12.32,0.25,123.36,5.83,16.64
74.83,45.18,75.33,4.71,79.69
64.59,25.63,40.58,2.99,50.61
18.14,39.98,171.93,8.66,64.09
93.24,49.72,97.64,5.95,93.82
9.82,36.28,102.57,3.98,49.18
12.82,32.77,29.01,6.58,50.90
45.06,30.82,68.08,6.26,55.05
56.56,18.22,70.10,4.85,44.87
22.15,36.99,92.86,8.56,61.05
13.43,36.65,176.80,5.17,51.33
55.17,8.79,125.26,8.58,41.48
85.87,7.00,112.34,3.37,38.04
7.54,0.93,106.36,1.28,4.70
58.19,20.26,122.11,9.16,52.25
99.87,23.61,157.29,4.29,60.05
22.33,38.61,149.31,3.62,51.33
39.68,25.11,135.91,8.63,52.98
80.65,30.70,41.51,5.63,64.36
94.87,32.97,193.87,7.62,76.69
48.35,17.94,51.58,5.39,43.56
4.28,10.34,182.47,4.25,18.88
46.97,22.73,18.82,9.83,53.54
52.14,41.48,168.63,3.37,68.57
54.44,8.69,134.20,4.29,29.77
51.67,18.82,182.38,5.65,40.69
35.29,43.39,102.50,5.34,65.99
13.90,8.28,24.65,6.79,22.32
21.15,9.35,78.82,7.46,29.42
81.12,36.01,101.49,5.31,73.24
21.07,8.06,168.34,1.20,17.24
16.11,31.48,17.45,6.15,48.60
5.59,12.91,44.21,9.62,29.82
1.86,35.98,135.73,3.55,42.77
8.57,22.46,198.63,8.81,42.34
60.08,39.73,165.89,2.64,68.25
65.96,13.23,147.60,4.08,36.51
22.98,19.27,30.63,2.82,30.52
85.96,25.22,89.76,2.35,56.62
61.47,1.95,158.93,5.53,32.44
11.75,24.11,34.76,6.43,41.04
77.49,32.46,109.19,4.33,61.00
4.34,26.49,53.60,8.22,43.58
58.90,37.07,154.69,7.27,67.99
9.77,6.69,100.66,3.09,15.08
87.68,20.43,45.91,7.38,59.17
78.94,28.90,32.39,1.06,52.49
31.59,18.11,39.41,6.86,37.53
25.36,42.75,90.48,4.29,61.26
75.50,20.66,158.92,5.34,55.76
37.02,27.75,58.22,3.76,44.22
73.58,42.75,135.26,7.73,85.29
44.66,34.97,40.74,2.93,53.40
55.06,34.85,144.29,2.45,57.87
96.46,0.26,27.31,2.31,35.76
6.41,11.09,25.21,1.34,12.62
38.43,49.22,126.65,5.69,76.39
94.57,41.01,131.66,4.95,78.61
20.17,32.84,162.74,3.57,48.65
51.58,11.58,42.20,1.32,28.01
23.93,0.01,39.91,9.97,28.27
39.51,29.30,108.37,7.63,54.84
6.86,4.51,64.05,8.47,24.43
96.33,13.83,125.21,2.75,45.03
92.97,28.75,59.61,4.66,66.00
29.43,47.35,162.56,9.61,79.05
87.61,40.66,119.23,7.25,85.84
77.00,37.87,192.64,5.13,71.55
46.07,29.34,15.20,2.05,49.43
99.42,33.85,53.69,3.84,72.80
95.54,25.83,11.85,8.49,69.83
67.37,41.05,24.45,9.38,82.42
47.66,17.68,179.92,3.42,39.45
90.99,24.95,47.94,7.62,64.73
87.27,10.34,48.53,3.25,39.75
10.67,46.01,138.40,6.97,65.95
61.38,38.21,112.88,1.38,57.97
49.23,49.27,180.43,8.82,85.56
49.08,49.22,184.04,3.52,76.21
5.41,39.96,100.88,5.87,57.92
50.25,19.69,140.40,2.57,41.36
46.01,34.46,12.25,2.90,54.02
58.10,16.27,126.43,3.34,37.15
47.13,30.65,79.53,5.49,54.61
21.05,35.04,80.74,8.69,58.43
13.11,28.79,53.43,1.90,37.16
26.99,11.79,92.12,4.43,29.31
14.95,40.28,43.56,5.50,61.45
99.56,42.47,108.23,7.49,90.89
56.21,28.39,85.70,7.21,56.81
6.00,40.69,100.54,6.67,56.12
36.10,28.02,187.05,3.32,44.98
1.98,6.06,174.80,9.67,24.23
64.91,8.73,158.26,4.20,37.47
67.32,24.37,149.94,9.01,59.41
63.17,7.24,41.84,8.27,41.29
33.74,31.56,118.61,8.64,59.35
22.82,15.84,65.36,3.41,28.14
64.46,13.56,94.53,8.77,46.80
96.55,20.70,44.94,1.21,52.47
72.78,33.10,188.68,7.31,70.97
10.30,3.19,176.95,5.94,18.06
2.64,19.85,155.35,1.75,22.07
65.48,44.27,68.78,3.23,74.39
28.42,31.32,34.94,8.55,59.39
86.04,16.26,100.47,9.77,60.03
54.06,13.62,94.52,9.73,47.01
59.76,31.55,130.81,6.08,59.81
52.35,31.98,68.84,4.12,52.31
44.19,18.29,59.36,3.73,36.30
0.01,40.77,171.11,4.09,51.14
92.21,47.35,100.64,1.08,81.10
43.04,14.65,53.93,1.06,26.07
56.06,19.74,41.02,7.63,51.34
38.97,18.92,59.97,4.80,38.41
91.00,40.38,140.08,3.56,80.46
74.29,40.44,88.45,8.68,83.12
63.69,30.89,61.71,6.60,63.90
18.78,0.97,19.43,5.81,18.43
26.92,35.76,148.15,3.10,51.54
15.07,24.68,74.96,3.80,37.55
46.37,39.57,72.75,8.59,65.27
95.16,2.80,157.37,1.64,32.32
84.15,40.86,167.37,2.10,72.44
76.81,12.45,156.53,4.99,43.02
46.08,38.55,109.02,9.84,73.79
47.28,34.07,69.30,3.91,56.17
93.74,26.05,58.13,6.75,66.86
19.87,44.38,174.09,2.96,61.12
32.45,8.37,62.46,2.08,22.06
78.91,0.45,17.98,8.05,36.69
37.14,4.47,39.96,1.82,18.36
61.86,46.54,199.42,6.63,83.99
70.13,39.57,33.91,3.09,69.76
98.17,39.43,153.77,8.25,85.98
68.92,17.91,35.60,9.09,54.51
48.53,21.88,66.00,7.27,49.84
34.77,36.62,62.31,8.48,65.79
91.45,27.73,23.09,2.40,58.51
36.71,0.04,131.22,4.41,21.05
18.55,0.94,172.80,7.98,22.21
65.83,26.95,83.62,5.72,60.94
49.75,27.57,126.48,3.90,49.17
52.32,3.33,168.69,2.17,21.23
87.35,10.10,102.22,1.89,34.76
65.79,26.29,143.25,3.30,49.67
36.64,30.30,23.47,9.37,59.37
88.98,4.00,162.19,1.55,34.53
55.80,46.91,89.03,4.32,75.44
26.58,2.03,23.37,3.74,12.65
94.46,48.03,28.45,7.53,94.08
52.62,12.44,128.81,2.61,31.04
74.92,20.76,30.05,6.75,52.96
66.52,44.14,41.69,2.62,73.81
40.16,16.88,40.05,9.99,45.83
31.52,49.57,71.68,4.35,73.14
76.42,21.53,147.91,6.48,54.32
76.57,46.31,58.28,9.65,92.56
44.75,19.85,148.00,9.85,48.84
99.34,15.09,67.06,3.00,47.15
85.57,1.09,166.17,7.21,40.46
55.63,46.30,39.40,1.34,71.85
35.57,6.92,79.75,6.24,28.05
9.19,19.99,184.40,7.61,40.42
72.36,39.65,42.85,8.43,78.22
90.77,29.76,67.07,7.58,68.61
57.63,3.92,20.63,7.94,34.39
41.65,43.39,175.26,3.04,67.51
65.28,30.12,12.17,8.00,63.76
4.12,27.00,38.42,5.52,39.88
22.08,2.53,149.00,4.54,14.24
50.47,11.10,65.06,4.55,34.49
13.22,4.13,118.57,1.44,8.81
50.18,38.69,34.77,2.21,60.12
55.93,24.39,133.93,2.76,43.23
24.62,3.58,157.59,3.91,15.54
92.41,4.48,137.63,4.81,39.08
59.39,1.21,67.92,9.89,38.74
61.62,49.51,94.02,2.31,80.63
19.97,18.69,153.97,8.67,41.13
11.24,2.73,190.30,9.34,27.14
1.37,34.69,31.14,5.05,42.91
2.27,10.45,112.22,2.83,12.96
48.30,36.50,36.86,7.29,65.77
1.84,29.15,136.07,1.39,32.61
78.92,30.90,20.09,6.89,70.23
0.83,19.43,61.55,8.67,32.20
1.91,43.37,133.39,3.08,49.75
38.07,48.83,28.92,3.84,73.65
18.64,25.03,97.02,9.34,46.61
2.15,12.37,110.59,4.00,17.72
34.68,17.60,128.79,3.13,33.00
97.82,25.06,164.26,6.63,70.04
81.49,1.47,115.44,3.52,29.63
15.17,44.86,134.82,1.79,52.42
61.24,31.28,53.21,3.16,59.33
15.27,48.53,182.85,3.96,64.17
13.86,27.07,162.02,8.76,46.65
30.90,35.26,109.52,2.22,55.20
14.52,46.65,184.25,3.86,62.57
55.73,47.43,32.49,3.86,78.44
76.54,44.01,88.67,4.70,77.36
44.30,46.69,179.88,9.40,81.24
10.68,9.24,154.87,6.51,26.34
26.69,28.35,53.87,3.09,41.00
68.81,23.83,105.44,6.44,53.62
71.20,18.70,171.90,5.42,50.27
3.22,38.23,12.85,3.43,48.53
41.30,37.12,197.77,7.82,70.58
98.56,43.36,103.09,3.92,85.55
45.75,12.34,86.92,1.38,26.38
31.29,30.58,151.07,6.34,50.60
52.52,43.79,159.51,5.69,70.55
4.24,49.79,108.55,4.56,66.36
73.52,27.89,108.06,6.68,64.75
39.80,15.23,167.25,5.15,35.53
42.25,30.66,20.36,5.65,57.30
45.17,36.13,31.50,8.01,69.59
93.78,34.81,35.71,4.72,71.35
59.03,35.63,48.37,5.09,64.20
25.01,34.59,182.36,8.17,58.88
11.42,22.47,78.96,5.71,34.55
38.41,39.55,107.22,9.55,70.84
76.83,45.61,117.44,6.94,86.59
15.01,43.44,43.98,7.41,63.99
76.86,22.31,129.03,2.06,48.72
13.16,10.14,128.29,3.28,14.92
54.35,0.29,177.71,3.14,24.02
58.89,23.79,87.93,1.71,42.29
54.73,30.99,115.93,8.43,63.44
4.89,7.41,134.12,1.33,11.57
83.80,14.92,184.87,1.44,38.54
41.70,8.91,137.70,6.50,31.11
78.73,8.87,96.51,6.21,40.87
93.15,4.66,66.87,4.32,38.87
42.73,27.52,65.64,2.21,44.54
69.46,13.72,110.14,5.72,42.84
10.93,36.49,129.51,9.88,57.27
48.37,34.43,187.44,9.88,67.71
31.65,26.27,199.05,4.18,45.40
12.97,28.13,108.74,6.69,44.05
60.94,35.43,196.06,1.01,56.63
2.40,31.27,32.41,8.63,52.11
41.40,16.69,116.48,6.74,33.32
1.13,10.06,63.51,8.11,24.21
32.39,0.31,140.31,4.07,20.56
72.44,30.80,15.53,2.58,56.62
67.25,45.81,161.48,6.81,83.95
48.15,31.36,179.49,5.83,55.32
41.40,37.13,168.67,3.69,60.76
72.50,15.78,111.82,2.87,39.50
88.80,17.68,194.23,3.52,45.91
3.12,49.18,129.04,8.58,69.70
59.52,43.23,152.79,7.35,78.27
31.45,1.58,88.64,5.47,21.76
95.07,10.81,67.44,2.01,43.23
78.49,38.89,183.54,4.99,76.72
50.01,9.51,185.49,7.59,37.90
52.36,38.78,37.23,8.85,75.36
67.67,6.64,147.67,5.13,31.17
71.37,26.12,10.78,9.39,63.32
8.71,23.34,18.77,5.69,33.37
65.90,15.62,119.74,3.81,42.43
19.25,13.83,70.64,4.97,26.81
11.77,7.47,61.99,1.14,9.58
20.66,17.52,70.51,2.27,24.82
70.44,14.16,56.52,1.64,35.06
44.36,6.50,99.44,7.08,30.38
10.59,2.69,91.03,2.61,7.85
83.62,34.97,127.10,3.81,67.16
81.74,35.64,137.47,5.80,75.46
46.57,6.59,164.44,9.28,37.59
46.83,22.78,140.05,7.39,49.41
22.38,43.05,127.22,9.22,72.07
39.21,34.98,136.38,8.10,64.41
3.03,23.77,76.77,5.15,32.63
17.08,38.40,124.84,2.15,52.03
79.68,16.29,133.40,8.13,57.43
53.27,20.04,88.55,6.59,42.62
38.38,17.04,164.64,6.32,38.17
78.43,21.77,159.59,5.90,56.09
7.79,46.54,119.10,5.38,66.05
59.22,23.15,115.47,8.40,59.08
6.96,5.44,164.67,7.94,27.02
37.89,24.71,135.43,1.81,40.11
90.33,31.81,10.04,2.32,59.56
14.92,26.56,84.10,6.20,43.90
31.66,28.51,183.51,3.74,48.05
94.33,21.74,196.69,4.10,57.22
98.64,20.21,34.24,3.65,55.57
36.92,27.44,20.09,7.33,53.86
86.12,43.28,54.70,7.32,84.05
39.43,15.91,82.73,4.43,32.08
47.49,9.41,83.07,9.32,40.35
84.00,7.71,199.52,7.03,44.87
1.57,36.07,102.47,4.93,48.31
99.02,4.23,132.03,4.74,38.66
60.44,21.29,44.16,5.58,49.98
55.21,22.50,77.51,2.67,41.03
84.68,11.84,105.33,4.70,42.43
54.62,18.35,195.86,6.11,45.30
48.15,34.52,37.00,7.58,63.23
98.36,49.18,157.99,5.18,97.59
8.84,23.62,150.92,9.64,46.27
7.81,31.68,161.64,3.81,42.95
77.85,23.44,107.41,5.22,56.72
73.38,21.05,192.51,8.18,56.98
92.29,37.47,148.12,6.07,78.75
6.14,23.66,42.13,1.46,30.53
62.43,14.34,25.68,5.55,42.11
85.14,13.89,35.18,3.53,44.36
11.15,8.73,122.44,2.36,14.56
44.67,40.39,59.64,7.31,66.80
86.20,17.14,26.04,2.31,46.12
93.39,7.71,104.23,9.94,53.36
44.02,31.88,50.06,7.61,58.66
34.51,32.11,153.54,2.04,47.65
30.14,37.31,152.96,5.79,61.33
37.98,35.28,100.17,2.31,52.11
92.72,22.44,138.91,9.66,68.42
68.29,2.05,184.37,6.74,37.75
91.80,42.92,73.64,3.40,78.95
9.83,32.72,84.32,7.96,52.09
58.87,9.75,74.11,7.21,35.82
17.99,27.38,137.83,8.49,49.48
10.39,22.30,51.69,3.55,31.38
19.31,1.19,27.47,9.45,23.88
95.05,31.90,144.53,2.08,61.40
85.64,6.50,134.71,9.10,44.16
89.60,34.78,58.13,5.20,71.06
93.62,31.94,185.31,3.49,63.12
76.99,16.17,40.77,1.67,42.46
77.71,19.14,73.20,1.54,45.05
44.06,24.59,186.43,6.49,48.52
17.84,24.60,37.34,7.92,44.82
91.26,35.77,29.62,1.66,69.92
57.13,12.53,94.72,9.07,47.77
93.29,33.23,60.62,7.30,77.79
90.46,28.73,107.92,9.46,72.89
84.40,39.05,159.22,5.86,78.29
0.33,47.71,165.42,5.34,58.66
35.89,34.09,86.12,6.69,56.11
95.88,4.53,111.58,9.65,52.11
76.65,32.39,43.56,1.35,59.19
38.42,9.55,142.22,9.07,35.19
8.49,31.64,149.71,2.26,37.05
19.31,35.99,122.66,5.40,55.67
30.77,26.70,168.51,5.04,45.57
99.58,1.85,20.65,8.09,48.86
80.71,33.37,97.09,7.10,72.54
87.43,7.45,120.08,9.32,52.11
65.38,23.56,184.42,1.41,44.97
70.13,6.53,42.73,1.45,27.30
45.62,8.53,122.30,8.36,40.47
10.63,24.86,161.84,2.99,33.20
81.15,49.11,138.90,3.92,83.94
97.59,28.80,36.09,8.53,74.59
59.31,16.78,32.94,2.27,34.03
41.52,34.81,115.15,4.95,58.71
10.00,42.37,126.36,8.00,64.07
1.56,24.35,11.21,2.61,30.96
88.69,20.81,163.41,7.95,63.19
69.24,10.31,131.57,5.71,36.18
61.05,1.88,44.20,5.50,32.98
95.03,31.36,158.69,4.13,69.88
11.75,26.51,28.18,4.26,37.65
76.11,26.99,51.66,7.93,64.70
19.37,39.83,140.20,9.72,66.40
47.44,8.82,137.33,1.39,22.71
43.47,16.71,162.98,7.83,41.78
4.33,37.02,185.72,2.58,45.00
11.61,44.75,147.07,6.33,62.11
32.60,9.94,138.60,3.93,25.97
9.81,36.89,175.28,4.38,47.64
22.07,23.55,102.04,9.01,50.51
45.50,19.37,35.92,7.48,49.01
63.20,48.78,48.42,2.14,75.86
13.65,42.58,97.13,2.54,53.67
34.36,44.32,124.69,8.11,71.37
16.99,48.51,172.45,1.78,59.33
85.70,24.46,199.18,6.32,61.78
73.00,36.81,56.86,3.95,66.39
57.95,44.59,122.44,2.34,69.56
98.02,2.00,99.42,7.92,45.59
3.36,26.56,101.06,8.18,44.32
24.05,27.92,12.36,7.59,47.43
94.99,6.64,66.20,6.83,48.77
30.48,35.17,173.01,7.73,61.50
2.44,22.74,156.65,8.87,36.41
37.04,23.21,130.35,8.74,51.48
7.07,44.67,73.25,1.29,50.94
94.61,27.12,160.95,8.09,70.97
8.10,44.04,149.79,1.49,55.06
88.80,5.55,79.46,6.57,42.16
36.56,8.76,116.17,1.60,20.61
98.13,11.93,31.58,5.31,48.62
93.91,29.01,192.23,2.89,62.19
35.27,13.37,139.24,3.49,27.66
6.34,17.26,102.38,5.74,31.45
67.83,26.64,65.53,6.59,61.69
79.99,47.27,163.67,9.47,98.19
45.79,4.01,180.61,3.60,24.90
95.66,5.47,62.43,7.27,42.72
52.07,31.36,65.70,9.73,66.67
54.14,6.60,75.87,4.99,30.25
6.29,43.59,54.14,9.53,65.36
64.47,20.58,75.13,6.81,50.40
69.69,42.10,94.60,3.74,75.36
13.20,39.47,42.63,3.34,46.18
76.97,2.37,77.09,5.10,35.74
16.64,46.21,145.24,3.57,65.86
69.29,33.32,39.16,3.14,60.33
4.12,15.83,34.03,3.34,22.87
3.47,15.85,75.33,4.36,25.85
53.99,8.13,67.30,9.28,38.10
14.54,22.90,70.84,1.04,29.29
73.85,48.78,72.94,7.35,87.83
94.40,49.03,119.01,2.32,86.56
56.52,45.34,94.00,7.20,79.31
13.94,27.55,68.54,4.61,35.63
84.09,22.30,27.57,1.50,47.39
22.21,46.78,62.81,1.20,57.49
53.84,22.27,137.60,1.79,39.02
31.78,30.25,189.25,9.18,58.33
36.11,7.40,172.22,4.33,24.09
35.14,48.88,176.12,1.79,68.52
72.79,22.21,198.59,8.23,57.57
97.04,21.19,180.32,2.26,56.44
58.72,4.30,49.48,5.27,34.62
6.61,48.00,153.66,1.80,53.34
40.95,45.72,88.76,6.00,72.99
13.69,9.30,82.54,5.98,20.54
4.22,41.31,168.57,3.74,49.81
2.68,0.12,59.91,9.60,19.03
83.42,23.63,134.22,9.03,64.00
68.78,12.24,32.68,3.49,39.21
99.43,3.34,151.66,6.23,41.19
62.80,23.80,141.91,2.08,43.71
51.25,28.76,170.60,2.47,50.30
87.83,6.77,41.03,3.45,38.79
41.95,45.61,77.64,3.61,64.43
51.39,38.32,44.82,1.85,58.12
75.26,27.19,175.76,8.44,64.96
68.54,34.42,28.21,6.22,66.41
82.33,0.64,108.45,4.36,32.33
91.08,5.12,39.37,2.99,37.32
18.84,44.85,126.55,8.48,68.83
55.11,37.82,31.65,5.14,65.65
7.64,40.94,185.45,5.32,55.17
81.70,44.49,123.55,7.87,88.85
34.20,35.49,15.46,8.33,64.04
14.24,11.33,33.82,2.17,21.85
7.86,34.54,158.97,1.70,41.51
4.25,5.39,160.68,5.62,12.72
5.93,5.95,58.07,1.60,7.72
78.24,46.00,49.03,9.11,87.39
18.48,17.58,27.25,8.61,43.65
34.78,8.03,105.12,7.56,29.15
24.18,28.51,28.83,6.20,48.59
19.15,14.09,181.32,5.83,29.04
97.36,4.93,50.66,5.54,43.39
58.94,21.98,191.97,2.63,41.40
35.48,18.98,50.71,3.05,38.36
12.36,5.52,35.82,7.86,26.32
70.47,27.86,17.72,3.95,57.00
60.04,15.60,195.47,5.00,42.92
55.39,14.53,172.52,2.70,37.97
47.57,33.96,44.07,9.99,70.32
49.16,5.26,93.23,6.93,32.64
40.06,29.53,29.33,9.33,59.49
97.79,3.24,195.29,4.05,34.62
12.28,41.91,147.79,3.51,51.44
71.35,29.10,61.86,8.11,64.24
47.58,30.16,86.84,5.36,52.73
27.89,38.40,30.53,3.26,51.64
13.46,4.98,20.04,1.61,10.90
67.81,48.60,82.70,7.11,89.62
9.63,3.83,152.81,7.91,24.21
79.27,10.10,135.80,5.41,42.14
85.97,27.33,190.99,1.28,56.75
43.04,45.75,82.89,3.83,68.49
3.29,27.83,173.47,3.73,36.83
70.61,24.57,35.55,7.44,57.79
67.50,33.00,140.22,6.15,66.40
47.59,42.72,106.27,4.52,63.03
61.69,17.64,195.78,3.88,42.44
2.81,2.26,169.02,4.14,10.18
89.13,17.06,28.50,4.11,49.44
35.74,17.56,135.64,3.23,30.99
91.04,3.28,67.93,4.04,34.94
1.97,16.31,97.57,8.77,28.30
26.66,34.80,121.72,9.87,62.05
37.77,19.52,118.78,8.27,47.52
33.60,25.14,155.33,4.06,43.51
61.48,18.17,92.84,5.47,47.09
84.04,26.79,64.60,1.43,51.18
99.62,20.10,52.92,7.69,67.17
9.47,16.84,22.78,8.21,35.60
47.53,10.49,161.17,6.86,34.66
43.29,27.00,48.01,4.62,51.39
62.50,22.66,155.05,2.63,48.01
86.27,28.84,50.46,9.66,74.00
74.22,23.36,188.06,5.79,52.97
43.37,28.31,129.08,5.70,49.62
36.43,7.39,38.59,7.17,30.67
31.87,41.51,22.24,2.83,60.91
41.24,41.19,132.75,3.31,60.90
11.36,9.60,56.66,8.45,26.72
46.42,27.99,92.87,6.82,55.30
13.64,12.92,162.67,6.93,28.56
17.60,42.63,193.12,5.37,64.56
8.39,30.08,174.76,9.11,50.10
40.70,18.17,134.91,1.81,35.10
14.06,5.60,149.55,9.40,24.95
52.20,41.45,190.44,9.38,78.90
23.81,6.11,163.27,3.96,23.58
58.43,19.50,152.19,3.12,40.75
17.52,48.50,93.50,3.29,64.83
58.95,24.52,81.19,9.54,58.71
68.27,48.17,177.09,9.43,94.40
36.30,35.78,166.06,1.19,52.58
84.15,33.11,188.76,7.22,72.64
78.88,11.98,115.02,3.78,43.27
81.23,6.10,174.72,8.72,44.88
38.85,45.49,84.67,9.80,80.19
82.27,11.77,49.97,9.01,52.95
91.59,31.57,177.10,7.90,75.05
86.64,41.16,188.69,5.24,80.15
41.30,42.06,146.30,8.89,77.05
69.85,25.32,76.85,6.42,55.21
81.34,36.89,96.12,1.25,67.68
63.02,39.55,35.86,4.61,69.86
62.83,15.69,25.62,2.42,32.15
83.06,38.16,170.92,7.17,78.93
79.26,15.97,100.89,7.62,52.97
82.68,39.98,47.75,4.73,78.83
18.19,43.82,189.50,8.96,71.57
92.31,32.36,129.06,9.16,83.02
97.41,9.91,143.24,2.52,40.14
26.02,4.45,79.90,9.53,30.16
11.74,35.93,92.68,9.28,55.06
11.85,35.68,46.20,8.76,59.09
78.21,14.40,103.89,2.17,41.71
99.52,14.15,138.67,4.76,49.48
40.85,7.30,65.14,3.36,21.42
36.96,34.21,97.05,1.09,45.05
13.32,16.16,141.67,7.18,31.53
73.61,12.81,28.10,1.53,32.78
33.29,11.74,182.56,9.97,44.73
59.82,37.41,18.65,3.28,61.10
61.97,15.13,84.99,4.34,42.72
58.05,13.01,105.71,9.37,45.69
87.79,6.60,70.29,5.77,43.85
4.42,6.39,175.62,8.51,23.50
74.78,46.31,63.76,8.89,88.23
26.38,15.65,179.61,3.84,26.75
99.46,38.18,38.74,8.68,85.53
5.32,7.43,53.67,1.32,6.77
26.02,35.30,92.92,9.96,63.27
35.65,35.45,102.19,5.44,58.04
84.58,43.34,33.49,1.84,76.13
16.83,25.44,61.83,9.02,45.69
58.57,29.18,194.61,5.73,55.71
7.68,38.41,138.61,8.99,59.56
2.60,34.07,139.32,4.55,40.63
83.70,7.69,25.40,8.48,45.43
65.95,22.70,191.49,6.35,59.06
65.62,47.54,71.73,7.58,86.89
73.43,47.87,118.14,2.90,82.19
32.32,2.78,23.44,9.57,30.45
38.14,19.94,43.82,9.69,49.38
85.23,8.15,158.10,3.56,38.55
75.26,32.70,32.91,5.42,63.50
31.01,34.25,34.94,6.99,59.23
83.21,25.63,103.03,8.97,65.41
42.31,37.82,164.09,6.52,65.67
43.41,21.30,17.68,4.08,39.05
68.62,7.75,104.11,6.67,39.80
52.47,14.54,93.10,9.16,44.52
12.78,45.15,169.89,5.71,63.91
29.55,2.39,24.54,1.41,14.66
9.45,33.04,118.01,3.28,43.65
25.49,4.09,105.65,2.03,13.56
18.22,19.65,25.83,8.89,40.57
29.76,29.36,96.45,7.03,51.30
96.67,43.57,45.57,2.67,79.84
74.70,30.20,175.61,1.96,55.91
11.67,8.59,100.65,7.23,24.59
86.88,48.29,124.36,5.38,84.77
36.07,33.69,141.16,4.55,50.41
30.27,6.25,12.64,2.01,22.90
85.90,10.46,133.24,6.85,49.02
43.58,31.30,160.10,2.72,49.01
47.40,1.09,41.56,2.37,21.48
70.26,48.19,99.58,8.74,89.00
56.94,41.69,19.68,1.07,62.58
63.04,35.65,196.10,8.64,73.24
55.43,14.54,102.62,5.37,37.58
59.10,30.57,138.95,8.35,62.12
52.83,21.10,70.01,1.57,38.77
89.29,20.86,99.93,5.45,58.24
69.75,1.04,64.72,2.73,26.48
34.38,11.61,51.74,9.18,37.62
84.25,32.85,34.92,3.64,67.75
71.14,47.99,168.29,7.06,86.46
79.98,42.23,128.15,3.54,72.38
74.93,33.35,34.53,2.80,60.98
41.60,49.69,67.69,2.88,71.65
4.70,0.91,177.37,4.21,12.74
89.45,1.60,22.10,4.88,40.56
61.76,6.03,52.58,3.32,28.73
4.67,43.89,60.82,2.36,54.24
69.01,25.77,137.20,7.36,61.39
45.71,42.08,31.08,1.95,61.05
61.06,39.11,190.00,8.41,77.60
62.99,43.54,183.09,2.41,70.47
29.21,22.08,106.12,7.59,46.30
33.46,6.89,171.23,4.95,27.19
41.57,38.45,56.61,8.28,67.69
8.52,18.62,153.42,4.25,29.96
66.50,7.58,153.17,4.80,36.05
41.34,20.47,97.16,8.67,52.22
79.46,18.09,15.65,2.31,48.23
94.36,4.24,69.81,9.84,51.67
16.43,3.07,154.25,6.94,17.81
5.78,31.58,145.54,6.94,44.36
51.98,14.79,86.38,7.13,40.20
74.27,45.46,11.50,3.52,77.22
52.78,46.02,143.06,5.02,75.56
78.83,32.60,142.52,8.99,75.94
78.16,20.23,47.49,3.71,50.95
72.51,37.00,33.94,9.93,80.69
28.39,4.64,114.84,5.69,23.67
2.79,39.83,122.58,3.17,47.60
77.42,36.33,197.52,1.99,66.35
